"date","cases","btc_transactions"
"598",2021-09-15,567962,268957
"599",2021-09-16,576554,271223
"600",2021-09-17,593543,271040
"601",2021-09-18,537048,227661
"602",2021-09-19,360842,200516
"603",2021-09-20,534074,270233
"604",2021-09-21,469175,244568
"605",2021-09-22,538166,275235
"606",2021-09-23,511715,268689
"607",2021-09-24,547577,277565
"608",2021-09-25,367156,212575
"609",2021-09-26,348328,195560
"610",2021-09-27,472644,255873
"611",2021-09-28,449461,262292
"612",2021-09-29,502796,241991
"613",2021-09-30,484757,293074
"614",2021-10-01,539419,277042
"615",2021-10-02,346654,259961
"616",2021-10-03,306394,218112
"617",2021-10-04,444529,268955
"618",2021-10-05,420173,312538
"619",2021-10-06,512958,267749
"620",2021-10-07,432842,325875
"621",2021-10-08,474471,280028
"622",2021-10-09,332255,246189
"623",2021-10-10,314930,211506
"624",2021-10-11,381999,280184
"625",2021-10-12,433308,274155
"626",2021-10-13,463337,288916
"627",2021-10-14,444567,282383
"628",2021-10-15,457079,297746
"629",2021-10-16,337271,270052
"630",2021-10-17,313287,215883
"631",2021-10-18,414767,285368
"632",2021-10-19,442152,312018
"633",2021-10-20,471197,291813
"634",2021-10-21,456978,320743
"635",2021-10-22,485646,287550
"636",2021-10-23,360296,223941
"637",2021-10-24,316076,211220
"638",2021-10-25,431004,284680
"639",2021-10-26,442773,294029
"640",2021-10-27,512486,292114
"641",2021-10-28,459075,295558
"642",2021-10-29,504818,305733
"643",2021-10-30,381980,252061
"644",2021-10-31,320852,217435
"645",2021-11-01,423046,293282
"646",2021-11-02,429489,297402
"647",2021-11-03,521220,288746
"648",2021-11-04,527779,289141
"649",2021-11-05,515353,285946
"650",2021-11-06,414433,236233
"651",2021-11-07,347177,226128
"652",2021-11-08,478487,285806
"653",2021-11-09,483094,335411
"654",2021-11-10,574383,301025
"655",2021-11-11,516093,293665
"656",2021-11-12,594674,282049
"657",2021-11-13,428671,238634
"658",2021-11-14,351443,224016
"659",2021-11-15,545061,288435
"660",2021-11-16,521883,301103
"661",2021-11-17,624866,290390
"662",2021-11-18,613128,293867
"663",2021-11-19,615901,284719
"664",2021-11-20,476669,249652
"665",2021-11-21,396133,222949
"666",2021-11-22,624637,279165
"667",2021-11-23,606489,283401
"668",2021-11-24,672616,298909
"669",2021-11-25,595842,287496
"670",2021-11-26,596892,292645
"671",2021-11-27,450507,240759
"672",2021-11-28,405768,213768
